site,subject,block_type,d_prime,p_perm_dprime,cos_ci_true,ci_p_pos,cos_w_true,spec_p_pos,beta_truetarget,hit_rate,fa_rate,accuracy
Oberlin,3032025001,full_sentence,0.1216737207456692,0.6263736263736264,0.032986323960663,0.3496503496503496,0.3954580731228889,0.0348258706467661,0.1446693873638673,0.44,0.3918918918918919,0.5234899328859061
Oberlin,3202026002,full_sentence,0.3168360814465311,0.1228771228771228,0.1614199700578269,0.0419580419580419,0.4229120447996023,0.0099502487562189,0.4799079996315042,0.527027027027027,0.4,0.5637583892617449
UChicago,4192026001,full_sentence,0.3869671825851357,0.0889110889110889,0.1614245667862049,0.0399600399600399,0.3328681872777673,0.044776119402985,0.5574394810714826,0.64,0.4864864864864865,0.5771812080536913
Oberlin,2262025001,imagined_sentence,0.017400150001846,1.0,0.0133470614746102,0.4275724275724276,0.3223852382948209,0.0348258706467661,0.016038874943241,0.48,0.4729729729729729,0.5033557046979866
Oberlin,3032025002,imagined_sentence,0.49066131289748,0.0459540459540459,0.199324963406017,0.0139860139860139,0.3341794117757779,0.0497512437810945,0.7501728061442493,0.3333333333333333,0.1756756756756756,0.5771812080536913
Oberlin,3102025002,imagined_sentence,0.3186393639643751,0.1518481518481518,0.1590601012140008,0.0439560439560439,-0.1146797581240101,0.7960199004975125,0.3423614654622027,0.5,0.3733333333333333,0.5637583892617449
UChicago,4062026001,imagined_sentence,0.1159764677343681,0.5994005994005994,0.0636656453200574,0.2237762237762237,0.3347414456737135,0.0497512437810945,0.459689511698464,0.5333333333333333,0.4864864864864865,0.5234899328859061
Oberlin,4142026002,imagined_sentence,0.283370741083077,0.1888111888111888,0.1660941094907237,0.0379620379620379,0.2951445564455875,0.099502487562189,0.4393409139282478,0.5135135135135135,0.4,0.5570469798657718
