block,group,n_b1,n_b2,mean_b1,mean_b2,mwu_p,cohens_d
full_sentence,UChicago,4,6,0.5,0.5067114093959731,0.83066424240396,0.14576810341580046
full_sentence,Oberlin,5,11,0.5194630872483221,0.5289810860280659,0.49348071243345626,0.35388540739448493
full_sentence,Unified,9,17,0.5108128262490679,0.5211212001579155,0.4322945296023495,0.2922807576300729
imagined_sentence,UChicago,6,4,0.48993288590604017,0.4899328859060403,0.9145887822612924,2.3814849395077485e-15
imagined_sentence,Oberlin,11,5,0.5003050640634533,0.5315436241610738,0.0775509730108275,1.03429368596381
imagined_sentence,Unified,17,9,0.49664429530201337,0.5130499627143923,0.18501670464744624,0.43318754490942224
