subject,block_type,d_prime,cos_ci_true,cos_w_true,beta_truetarget,site,hit_rate,fa_rate,accuracy,criterion,abs_d_prime,signed_tertile,abs_tertile
4142026002,imagined_sentence,0.283370741083077,0.1660941094907237,0.2951445564455875,0.4393409139282478,Oberlin,0.5135135135135135,0.4,0.5570469798657718,0.1082574357112832,0.283370741083077,high,high
3292026001,full_sentence,-0.2889890650775395,-0.149368878734867,0.0001085137279498,-0.4188281547529658,UChicago,0.5066666666666667,0.6216216216216216,0.4429530201342282,-0.1609862555606276,0.2889890650775395,low,high
3292026001,imagined_sentence,0.1156944097902871,0.0617879426990135,0.0708662258253017,0.2660624646040478,UChicago,0.5,0.4533333333333333,0.5234899328859061,0.0578472048951435,0.1156944097902871,high,med
4032026001,full_sentence,-0.1489679190301653,-0.0710078635177962,-0.1862866810990805,-0.152714131682897,UChicago,0.44,0.5,0.4697986577181208,0.0744839595150826,0.1489679190301653,low,med
4032026001,imagined_sentence,-0.0213573547902661,-0.0230848775039373,0.0082473492695155,-0.035871802569234,UChicago,0.3783783783783784,0.3866666666666666,0.4966442953020134,0.2948021107042643,0.0213573547902661,med,low
4042026001,full_sentence,0.1835806891838514,0.079322368627108,0.1320063874613947,0.3407764249789231,UChicago,0.52,0.4459459459459459,0.5369127516778524,0.0422972194000623,0.1835806891838514,high,med
4042026001,imagined_sentence,-0.1843857278099633,-0.0803889046464481,-0.28230764253376,-0.2338128682539391,UChicago,0.4324324324324324,0.5066666666666667,0.4630872483221476,0.0757011408831238,0.1843857278099633,low,high
4042026002,full_sentence,0.2526197410338633,0.0973205167317202,0.1243558290308389,0.4263059855174284,UChicago,0.5066666666666667,0.4054054054054054,0.5503355704697986,0.1098181474950738,0.2526197410338633,high,high
4042026002,imagined_sentence,0.0822664749600319,0.0354425772128318,0.2002799481139285,0.1365953522589684,UChicago,0.4864864864864865,0.4533333333333333,0.5167785234899329,0.0745611723102711,0.0822664749600319,med,low
4042026003,full_sentence,-0.1826238676670032,-0.0891550207102573,-0.231063787952596,-0.2433679210005512,UChicago,0.5135135135135135,0.5866666666666667,0.4630872483221476,-0.1247398686637568,0.1826238676670032,low,med
4042026003,imagined_sentence,-0.3863360495661218,-0.1663458065382237,-0.2441406407879522,-0.5173375213103705,UChicago,0.4533333333333333,0.6081081081081081,0.4228187919463087,-0.0774736149927737,0.3863360495661218,low,high
4062026001,full_sentence,-0.0515390310878753,-0.0165171761528945,-0.044303407435487,-0.0847243801314328,UChicago,0.4459459459459459,0.4666666666666667,0.4899328859060403,0.1083180484480504,0.0515390310878753,low,low
4062026001,imagined_sentence,0.1159764677343681,0.0636656453200574,0.3347414456737135,0.459689511698464,UChicago,0.5333333333333333,0.4864864864864865,0.5234899328859061,-0.0245602990369288,0.1159764677343681,high,med
4182026001,full_sentence,0.1230735652649232,0.042975342900609,0.2273345953640267,0.1660434668292614,UChicago,0.4266666666666667,0.3783783783783784,0.5234899328859061,0.2439440054669357,0.1230735652649232,med,low
4182026001,imagined_sentence,-0.350861398172016,-0.1498614499710243,-0.2173208755944029,-0.4854664985131303,UChicago,0.44,0.581081081081081,0.4295302013422818,-0.0264627800558427,0.350861398172016,low,high
4182026002,full_sentence,0.0853454718839927,0.0129467872748435,-0.0390753118082281,0.1740659520826595,UChicago,0.4666666666666667,0.4324324324324324,0.5167785234899329,0.1252212688461091,0.0853454718839927,med,low
4182026002,imagined_sentence,-0.2158611942238747,-0.0987237236252296,-0.0709795663584862,-0.3247727588151191,UChicago,0.4729729729729729,0.56,0.4563758389261745,-0.0410373219182279,0.2158611942238747,low,high
4192026001,full_sentence,0.3869671825851357,0.1614245667862049,0.3328681872777673,0.5574394810714826,UChicago,0.64,0.4864864864864865,0.5771812080536913,-0.1600556564623126,0.3869671825851357,high,high
4192026001,imagined_sentence,0.0825113459523694,0.0336703995234403,-0.031917264515453,0.1103437855873973,UChicago,0.6266666666666667,0.5945945945945946,0.5167785234899329,-0.2773836909881904,0.0825113459523694,med,low
4192026002,full_sentence,-0.1535794851078928,-0.0836021450325147,0.0398370677570914,-0.2086911195848739,UChicago,0.5333333333333333,0.5945945945945946,0.4697986577181208,-0.1593382754580593,0.1535794851078928,low,med
4192026002,imagined_sentence,0.2531055272434105,0.1268231789263982,0.2365570137536977,0.4200022181332394,UChicago,0.64,0.5405405405405406,0.5503355704697986,-0.2269864841331751,0.2531055272434105,high,high
